date,price,bedrooms,bathrooms,floors,condition,yr_built,street,city,statezip,country
5/6/2014 0:00,650000,3,1.5,1,3,1940,6009 52nd Ave NE,Seattle,WA 98115,USA
5/6/2014 0:00,1135000,4,2.75,1,3,1970,3922 SW Henderson St,Seattle,WA 98136,USA
5/6/2014 0:00,325000,4,2.5,1,3,1980,5631 17th Ave SW,Seattle,WA 98106,USA
5/6/2014 0:00,425000,4,2,1,5,1967,14876 Juanita Woodinville Way NE,Inglewood-Finn Hill,WA 98034,USA
5/6/2014 0:00,219000,2,1,1,3,1952,8652 17th Ave SW,Seattle,WA 98106,USA
5/6/2014 0:00,250000,3,1,1,3,1954,18305 Dayton Ave N,Shoreline,WA 98133,USA
5/6/2014 0:00,390000,3,1.75,1,4,1966,1415 168th Ave NE,Bellevue,WA 98008,USA
5/6/2014 0:00,475000,6,3,1.5,3,1924,19007 80th Ave NE,Kenmore,WA 98028,USA
5/6/2014 0:00,736000,4,2.5,2,4,1988,17435 SE 47th St,Bellevue,WA 98006,USA
5/6/2014 0:00,407000,4,2.25,1,3,1958,23024-23198 17th Ave S,Des Moines,WA 98198,USA
5/6/2014 0:00,272000,3,2.5,2,3,1998,32000-32072 NE 55th St,Carnation,WA 98014,USA
5/6/2014 0:00,362000,3,2.25,1,4,1963,17253 Ambaum Blvd S,Burien,WA 98148,USA
5/6/2014 0:00,535000,3,2.5,2,3,1991,8409 NE 129th Pl,Kirkland,WA 98034,USA
5/6/2014 0:00,284000,4,2.5,2,3,2003,25434 160th Ave SE,Kent,WA 98042,USA
5/6/2014 0:00,367500,3,1.5,1,3,1961,18048 3rd Ave NW,Shoreline,WA 98177,USA
5/6/2014 0:00,379900,4,1.75,1,4,1955,15007 75th Ave NE,Kenmore,WA 98028,USA
5/6/2014 0:00,520000,3,2.5,2,4,1980,5424 NE 10th St,Renton,WA 98059,USA
5/6/2014 0:00,175000,3,1,1,3,1954,207 NW 5th St,Renton,WA 98057,USA
5/6/2014 0:00,460000,2,2.25,2,3,2004,100 24th Ave E,Seattle,WA 98112,USA
5/6/2014 0:00,345000,4,2.5,2,3,2007,11853 SE 176th Ct,Renton,WA 98058,USA
5/6/2014 0:00,455000,5,2.5,1,3,1978,12633 NE 133rd Pl,Kirkland,WA 98034,USA
5/6/2014 0:00,610000,4,3,1,5,1967,15607 SE 42nd Ct,Bellevue,WA 98006,USA
5/6/2014 0:00,563000,4,3,2,3,1996,7422 NE 163rd St,Kenmore,WA 98028,USA
5/6/2014 0:00,612500,4,2,1,3,1949,1708 NW 96th St,Seattle,WA 98117,USA
5/6/2014 0:00,218000,3,1.75,1,3,1979,33945 28th Pl SW,Federal Way,WA 98023,USA
5/6/2014 0:00,404000,4,1.75,1,3,1958,16020 SE 2nd St,Bellevue,WA 98008,USA
5/6/2014 0:00,860000,4,2,2,3,2000,24507 NE 77th Pl,Redmond,WA 98053,USA
5/6/2014 0:00,136500,3,1.5,1,3,1962,32827 22nd Ave SW,Federal Way,WA 98023,USA
5/6/2014 0:00,313950,3,1,1,4,1940,415 NE 94th St,Seattle,WA 98115,USA
5/6/2014 0:00,575000,3,1.75,1,3,1954,2214 W Halladay St,Seattle,WA 98199,USA
5/6/2014 0:00,1225000,4,2.25,2,4,1928,2560 39th Ave W,Seattle,WA 98199,USA
5/6/2014 0:00,280000,3,1.75,1,4,1971,12525 458th Ave SE,North Bend,WA 98045,USA
5/6/2014 0:00,515000,3,2.5,2,3,1989,920 221st Ave NE,Sammamish,WA 98074,USA
5/6/2014 0:00,513000,4,2.5,2,3,1996,9041 NE 160th Pl,Kenmore,WA 98028,USA
5/6/2014 0:00,599000,4,2.25,2,4,1977,16022 SE 43rd St,Bellevue,WA 98006,USA
5/6/2014 0:00,685000,4,2.5,2,3,1999,24201 SE 1st Pl,Sammamish,WA 98074,USA
5/6/2014 0:00,365000,3,1.5,1,3,1950,13714 Ashworth Ave N,Seattle,WA 98133,USA
5/6/2014 0:00,762300,4,2.5,2,3,1987,22344 NE 31st St,Sammamish,WA 98074,USA
5/6/2014 0:00,1580000,4,3.25,1.5,5,1950,5650 NE 55th St,Seattle,WA 98105,USA
5/6/2014 0:00,562000,5,2.25,2,3,1984,17649 NE 129th Pl,Redmond,WA 98052,USA
5/6/2014 0:00,530000,5,2.5,1,4,1964,3250 165th Ave SE,Bellevue,WA 98008,USA
5/6/2014 0:00,525000,3,2.5,1,3,1995,21603 NE 29th St,Sammamish,WA 98074,USA
5/6/2014 0:00,484000,2,1.75,1,3,1942,4711 University View Pl NE,Seattle,WA 98105,USA
5/6/2014 0:00,725126,4,2.5,2,3,1998,14707 SE 84th St,Newcastle,WA 98059,USA
5/6/2014 0:00,360000,4,2,1,5,1965,31607-31633 44th Ave S,Auburn,WA 98001,USA
5/6/2014 0:00,387000,3,1,1,5,1962,12116 SE 71st Pl,Newcastle,WA 98056,USA
5/6/2014 0:00,483500,4,2.5,2,3,1995,15418 216th Ave NE,Woodinville,WA 98077,USA
5/6/2014 0:00,655500,4,3.5,2,3,2000,1703 NW 200th Ln,Shoreline,WA 98177,USA
5/6/2014 0:00,345000,3,1,1,3,1956,3230 NE 95th St,Seattle,WA 98115,USA
5/6/2014 0:00,533000,5,2.75,1.5,3,1926,7434 Winona Ave N,Seattle,WA 98103,USA
5/6/2014 0:00,385000,3,1.75,1,3,1982,5215 32nd Ave S,Seattle,WA 98118,USA
5/6/2014 0:00,675000,2,1,1,3,1951,4206 SE Newport Way,Bellevue,WA 98006,USA
5/6/2014 0:00,197000,3,1.75,1,4,1976,30020 43rd Pl S,Auburn,WA 98001,USA
5/6/2014 0:00,485000,3,2,1.5,3,1905,720 N 80th St,Seattle,WA 98103,USA
5/6/2014 0:00,1870000,5,4,2,3,1969,8300 SE 82nd St,Mercer Island,WA 98040,USA
5/6/2014 0:00,295000,3,2.25,1,4,1974,31966 36th Ave SW,Federal Way,WA 98023,USA
5/6/2014 0:00,499000,2,1.75,1,4,1903,2112 N 50th St,Seattle,WA 98103,USA
5/6/2014 0:00,1050000,3,2.5,2,3,2008,2516 Yale Ave E,Seattle,WA 98102,USA
5/6/2014 0:00,191000,3,1.5,1,4,1959,1003 SW 307th St,Federal Way,WA 98023,USA
5/6/2014 0:00,500000,3,2.5,3,3,2006,135 25th Ave E,Seattle,WA 98112,USA
5/6/2014 0:00,390000,5,3.75,1,3,2006,3665 Renton Ave S,Seattle,WA 98144,USA
5/6/2014 0:00,979000,3,2.5,3,3,2014,7000 23rd Ave NW,Seattle,WA 98117,USA
5/6/2014 0:00,580000,4,3.25,2,3,2013,710 S 23rd St,Renton,WA 98055,USA
5/6/2014 0:00,369950,3,2,3,3,2006,8846 Midvale Ave N,Seattle,WA 98103,USA
5/6/2014 0:00,1800000,5,5,2,3,2013,1435 104th Ave SE,Bellevue,WA 98004,USA
5/6/2014 0:00,776000,4,2.5,2,3,2008,16775 NE 86th Ct,Redmond,WA 98052,USA
5/7/2014 0:00,519950,3,2.25,3,3,2014,1749 NW 60th St,Seattle,WA 98107,USA
5/7/2014 0:00,255000,5,2.25,1,3,1962,105 SW 129th St,Burien,WA 98146,USA
5/7/2014 0:00,495000,3,1,1,3,1943,5628 NE 59th St,Seattle,WA 98105,USA
5/7/2014 0:00,510000,4,2.5,2,3,2003,1028 NE 153rd Ct,Shoreline,WA 98155,USA
5/7/2014 0:00,1150000,4,4,2,3,2001,25823 NE 30th Ct,Redmond,WA 98053,USA
5/7/2014 0:00,253000,3,1.75,1,3,1994,25502 Kanasket Dr,Black Diamond,WA 98010,USA
5/7/2014 0:00,503000,3,2.75,1,5,1980,9626 NE 129th Pl,Kirkland,WA 98034,USA
5/7/2014 0:00,275000,3,2.5,2,4,1993,21326 SE 277th Pl,Maple Valley,WA 98038,USA
5/7/2014 0:00,249000,3,1,1,3,1952,14613 6th Ave SW,Burien,WA 98166,USA
5/7/2014 0:00,310000,3,1.75,1,4,1974,19313 140th Pl SE,Renton,WA 98058,USA
5/7/2014 0:00,750000,3,2.75,1,4,1946,2806 13th Ave W,Seattle,WA 98119,USA
5/7/2014 0:00,630000,3,2.5,2,3,1995,25339 SE 248th St,Ravensdale,WA 98051,USA
5/7/2014 0:00,599999,9,4.5,2.5,3,1938,8809 Densmore Ave N,Seattle,WA 98103,USA
5/7/2014 0:00,758000,4,2.75,1,4,1956,10627 NE 45th St,Kirkland,WA 98033,USA
5/7/2014 0:00,248500,4,1.75,1,5,1960,16635 SE 268th St,Covington,WA 98042,USA
5/7/2014 0:00,310000,3,1.75,1,4,1973,19654 116th Ave SE,Kent,WA 98031,USA
5/7/2014 0:00,460000,3,2,2,4,1985,5003 159th Ct NE,Redmond,WA 98052,USA
5/7/2014 0:00,675000,3,1.75,1,4,1959,4 128th Ave SE,Bellevue,WA 98005,USA
5/7/2014 0:00,526000,2,2,1.5,4,1900,3845 Whitman Ave N,Seattle,WA 98103,USA
5/7/2014 0:00,560000,3,3,2,3,1994,32223 NE 88th St,Carnation,WA 98014,USA
5/7/2014 0:00,415000,4,3,2,3,1991,15204 88th Ave NE,Bothell,WA 98028,USA
5/7/2014 0:00,246000,3,1,1,3,1944,624 SW 137th St,Burien,WA 98166,USA
5/7/2014 0:00,314500,3,1.75,1,4,1957,29645 10th Pl S,Federal Way,WA 98003,USA
5/7/2014 0:00,3200000,7,4.5,2.5,5,1910,1230 Warren Ave N,Seattle,WA 98109,USA
5/7/2014 0:00,420000,2,1.5,1.5,4,1904,1713 22nd Ave S,Seattle,WA 98144,USA
5/7/2014 0:00,535000,3,1.75,1.5,3,1988,33331 NE Lake Joy Rd,Carnation,WA 98014,USA
5/7/2014 0:00,350000,3,1,1,3,1981,9703 130th Ave NE,Kirkland,WA 98033,USA
5/7/2014 0:00,515000,3,1.75,1,4,1967,234 W Lake Sammamish Pkwy SE,Bellevue,WA 98008,USA
5/7/2014 0:00,749950,4,2.75,2,5,1949,4140 53rd Ave SW,Seattle,WA 98116,USA
5/7/2014 0:00,230000,3,2.5,2,3,1988,206 Oakesdale Ave SW,Renton,WA 98057,USA
5/7/2014 0:00,568000,3,2,1.5,3,1929,5531 Seward Park Ave S,Seattle,WA 98118,USA
5/7/2014 0:00,250000,1,1,1,2,1947,232 SW 154th St,Burien,WA 98166,USA
5/7/2014 0:00,581000,4,2,1,4,1961,11105 126th Ave NE,Kirkland,WA 98033,USA
5/7/2014 0:00,651000,3,2.5,2,4,1991,18611 SE 307th Ln,Kent,WA 98042,USA
5/7/2014 0:00,600000,3,2.5,1,4,1977,25525 SE 133rd St,Issaquah,WA 98027,USA
5/7/2014 0:00,500000,2,1,1.5,4,1906,331 22nd Ave E,Seattle,WA 98112,USA
